"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3122","D3 - Add a payee to my list","","2026-08-23","passed","2026-08-23","","","",""
"","3215","H1 - See my personal details","","2026-08-23","passed","2026-08-23","","","",""
"","2441","B1 - Customer sees all their accounts with balances","","2026-08-23","passed","2026-08-23","","","",""
"","1872","C1 - Dashboard is the first thing shown after signing in","","2026-08-23","passed","2026-08-23","","","",""
"","2960","A2 - Sign in with correct credentials","","2026-08-23","passed","2026-08-23","","","",""
"","2300","H3 - Change my password","","2026-08-23","passed","2026-08-23","","","",""
"","3226","D1 - Transfer between my own accounts","","2026-08-23","passed","2026-08-23","","","",""
"","2471","B3 - Open an additional account self-service","","2026-08-23","passed","2026-08-23","","","",""
"","3730","G5 - Download my card statement","","2026-08-23","passed","2026-08-23","","","",""
"","2374","C2 - Total deposit balance is shown at a glance","","2026-08-23","passed","2026-08-23","","","",""
"","4343","G4 - Pay my card from my current account","","2026-08-23","passed","2026-08-23","","","",""
"","4262","D5 - Pressing pay twice does not charge twice","","2026-08-23","passed","2026-08-23","","","",""
"","3409","C5 - Quick transfer shortcut is available","","2026-08-23","passed","2026-08-23","","","",""
"","3531","B2 - Open an account and see payment details","","2026-08-23","passed","2026-08-23","","","",""
"","4494","D4 - Transfer with insufficient funds is blocked","","2026-08-23","passed","2026-08-23","","","",""
"","1252","A3 - Sign up with an already-registered email is rejected","","2026-08-23","passed","2026-08-23","","","",""
"","2399","B4 - Direct access to a non-existent account is denied","","2026-08-23","passed","2026-08-23","","","",""
"","4058","H4 - Signed out visitor cannot access private pages","","2026-08-23","passed","2026-08-23","","","",""
"","3448","G6 - Customer with a card cannot apply again","","2026-08-23","passed","2026-08-23","","","",""
"","3108","F4 - Card statement is available","","2026-08-23","passed","2026-08-23","","","",""
"","3190","H2 - Email address cannot be changed","","2026-08-23","passed","2026-08-23","","","",""
"","2643","F1 - View the transaction history for an account","","2026-08-23","passed","2026-08-23","","","",""
"","2650","F2 - Filter transactions by date range","","2026-08-23","passed","2026-08-23","","","",""
"","1862","C4 - Recent activity is shown on the dashboard","","2026-08-23","passed","2026-08-23","","","",""
"","1003","A2 - Sign in with an incorrect password","","2026-08-23","passed","2026-08-23","","","",""
"","3414","D2 - Pay a company I owe","","2026-08-23","passed","2026-08-23","","","",""
"","3602","H2 - Change my personal details","","2026-08-23","passed","2026-08-23","","","",""
"","2253","A1 - Open an account successfully","","2026-08-23","passed","2026-08-23","","","",""
"","4682","G2 - Approved customer sees their card details","","2026-08-23","passed","2026-08-23","","","",""
"","2413","F3 - Download a monthly statement","","2026-08-23","passed","2026-08-23","","","",""
"","1971","C3 - Credit card is shown on the dashboard","","2026-08-23","passed","2026-08-23","","","",""
